practiceimage,PracticeimageCorrAns,congruent,practiceSentence,practiceSentenceCompQ,compRespL,compRespR,compRespCorr,block,image,sentence,ambiguous,critical,Incongruent,Single,imageCorrAns,incongruentambiguous,criticalSentenceCode,compQ,RepeatFlankerIfNeeded.thisRepN,RepeatFlankerIfNeeded.thisTrialN,RepeatFlankerIfNeeded.thisN,RepeatFlankerIfNeeded.thisIndex,practiceFlankerLoop.thisRepN,practiceFlankerLoop.thisTrialN,practiceFlankerLoop.thisN,practiceFlankerLoop.thisIndex,RepeatPracticeSentencesIfNeeded.thisRepN,RepeatPracticeSentencesIfNeeded.thisTrialN,RepeatPracticeSentencesIfNeeded.thisN,RepeatPracticeSentencesIfNeeded.thisIndex,practiceSentenceLoop.thisRepN,practiceSentenceLoop.thisTrialN,practiceSentenceLoop.thisN,practiceSentenceLoop.thisIndex,MixedPractice.thisRepN,MixedPractice.thisTrialN,MixedPractice.thisN,MixedPractice.thisIndex,MixedPracticeTrial.thisRepN,MixedPracticeTrial.thisTrialN,MixedPracticeTrial.thisN,MixedPracticeTrial.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,keyResponseIntroText.keys,keyResponseIntroText.rt,keyResponseIntro2Text.keys,keyResponseIntro2Text.rt,FlankerInstructions_keyresponse.keys,FlankerInstructions_keyresponse.rt,FlankerInstructions2_keyresponse.keys,FlankerInstructions2_keyresponse.rt,PracticeFlankerResponse.keys,PracticeFlankerResponse.corr,PracticeFlankerResponse.rt,SPRInstructions_keyresponse.keys,SPRInstructions_keyresponse.rt,key_resp_5.keys,key_resp_5.rt,SPRinstructions2_keyresponse.keys,SPRinstructions2_keyresponse.rt,IRI_0,IRI_FL_0,space_0,IRI_1,IRI_FL_1,space_1,IRI_2,IRI_FL_2,space_2,IRI_3,IRI_FL_3,space_3,IRI_4,IRI_FL_4,space_4,IRI_5,IRI_FL_5,space_5,IRI_6,IRI_FL_6,space_6,IRI_7,IRI_FL_7,space_7,IRI_8,IRI_FL_8,space_8,IRI_9,IRI_FL_9,space_9,IRI_10,IRI_FL_10,space_10,IRI_11,IRI_FL_11,space_11,IRI_12,IRI_FL_12,space_12,key_resp_practiceCompQ.keys,key_resp_practiceCompQ.corr,key_resp_practiceCompQ.rt,IRI_13,IRI_FL_13,space_13,combinedInstructions_keyresponse.keys,combinedInstructions_keyresponse.rt,keyResponseInstructionsMixed.keys,keyResponseInstructionsMixed.rt,flankerkeyresponse.keys,flankerkeyresponse.corr,flankerkeyresponse.rt,CompQkeyresponse.keys,CompQkeyresponse.corr,CompQkeyresponse.rt,key_resp_3.keys,keyResponsePreStart.keys,keyResponsePreStart.rt,key_resp_2.keys,key_resp_4.keys,IRI_14,IRI_FL_14,space_14,IRI_15,IRI_FL_15,space_15,IRI_16,IRI_FL_16,space_16,IRI_17,IRI_FL_17,space_17,IRI_18,IRI_FL_18,space_18,IRI_19,IRI_FL_19,space_19,key_resp_4.rt,rest_keyresponse.keys,rest_keyresponse.rt,IRI_20,IRI_FL_20,space_20,participant,session,group,level,date,expName,frameRate,
,,None,,,Verdadero,Falso,f,None,single_right,La madre de Julieta vive en Filadelfia así que Julieta la visita mucho,None,None,None,None,j,None,0,Julieta y su madre se ven mucho.,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,0.700612562999595,0.6847429249901325,0.700612562999595,0.3672657069982961,0.3373298079823144,1.067878269997891,0.48547738301567733,0.45604179496876895,1.5533556530135684,0.383079043996986,0.3532100640004501,1.9364346970105544,0.5350052280118689,0.5056554300244898,2.4714399250224233,0.4340877579525113,0.40584926499286667,2.9055276829749346,0.41942256200127304,0.3732229440356605,3.3249502449762076,1.2686096130055375,1.2389995779958554,4.593559857981745,0.5862853649887256,0.5523386180284433,5.179845222970471,0.4512596720014699,0.4188187849940732,5.631104894971941,0.5843629100127146,0.5559116119984537,6.215467804984655,0.351167352986522,0.3179162750020623,6.566635157971177,0.6517564420355484,0.6230338299646974,7.218391600006726,,,,,,,,,space,6.372250546992291,j,1,0.518614617001731,f,1,2.227684745041188,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,None,,,Verdadero,Falso,f,None,congruent_right,Me gusta vivir en la ciudad de Washington porque tiene mucha historia,None,None,None,None,j,None,0,Estoy contento viviendo en D.C.,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,0.6343119569937699,0.62178921996383,0.6343119569937699,0.4011618100339547,0.37296121497638524,1.0354737670277245,0.4837557880091481,0.45183295401511714,1.5192295550368726,0.4512834519846365,0.4220589820179157,1.970513007021509,0.46815916296327487,0.42163433000678197,2.438672169984784,0.41790133505128324,0.38893398200161755,2.856573505036067,0.41676921595353633,0.3867101260111667,3.2733427209896035,0.40266196604352444,0.37298777501564473,3.676004687033128,0.45017655997071415,0.4230424999841489,4.126181247003842,0.4008264800067991,0.37099649995798245,4.527007727010641,0.4525286799762398,0.4222015929990448,4.979536406986881,0.367470350000076,0.3387213600217365,5.347006756986957,,,,,,,,,,,,,,j,1,0.6539677300024778,f,1,2.360514661995694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,None,,,Verdadero,Falso,j,None,congruent_left,El chico corrió en el parque ayer,None,None,None,None,f,None,0,El chico no hizo nada ayer.,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.40041474299505353,0.392255972023122,0.40041474299505353,0.400859292014502,0.3720914699952118,0.8012740350095555,0.43473522301064804,0.4061736980220303,1.2360092580202036,0.4843392049660906,0.4552132399985567,1.7203484629862942,0.4515624920022674,0.4186963349930011,2.1719109549885616,0.4509156800340861,0.4183380970498547,2.6228266350226477,0.4510186549741775,0.4182578300242312,3.073845289996825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.587955282011535,j,1,1.6552021029638126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,None,,,Verdadero,Falso,j,None,incongruent_left,Mi estación preferida es el verano,None,None,None,None,f,None,0,Me gusta el invierno más que las otras estaciones.,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.41685469303047284,0.4082990909810178,0.41685469303047284,0.4011525569949299,0.3680446819635108,0.8180072500254028,0.5681674029910937,0.5399311250075698,1.3861746530164964,0.7182425750070252,0.6850446600001305,2.1044172280235216,0.4182687219581567,0.38904974999604747,2.5226859499816783,0.4344265949912369,0.4051014450378716,2.957112544972915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.49010220501804724,j,1,2.4116423099767417,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,None,,,Verdadero,Falso,f,None,incongruent_right,Estudio mucho durante la semana para poder divertirme durante el fin de semana,None,None,None,None,j,None,0,No voy a la biblioteca mucho los fines de semana.,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,0.50053282501176,0.48636131500825286,0.50053282501176,0.6010083250002936,0.5715822100173682,1.1015411500120535,0.5357581750140525,0.4854151699692011,1.637299325026106,0.5179117179941386,0.48913590697338805,2.1552110430202447,0.4177524919505231,0.3851833799853921,2.572963534970768,0.43466735002584755,0.401703373005148,3.0076308849966154,0.41778813797282055,0.3847442899714224,3.425419022969436,0.43443564703920856,0.40180229797260836,3.8598546700086445,0.5336006300058216,0.5049739049864002,4.393455300014466,0.4352513179765083,0.40532770700519904,4.828706617990974,0.4009564649895765,0.37217619799776,5.229663082980551,0.4014088650001213,0.37179442000342533,5.631071947980672,0.3014723469968885,0.2727984800003469,5.932544294977561,,,,,,,,,,,j,1,0.7220811580191366,f,1,4.634012006979901,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,None,,,Verdadero,Falso,j,None,single_left,A Iván le gusta cocinar y toma clases de gastronomía,None,None,None,None,f,None,0,Iván cocina mucho.,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,0.45009341201512143,0.43874254199909046,0.45009341201512143,0.3674498929758556,0.3389695949736051,0.817543304990977,0.6017165119992569,0.5743567100143991,1.419259816990234,0.3836000779992901,0.35138077003648505,1.802859894989524,0.4021871850127354,0.37244101997930557,2.2050470800022595,0.5010082970256917,0.4726947200251743,2.706055377027951,0.3337097099865787,0.3006048380048014,3.03976508701453,0.41813301300862804,0.3885648000286892,3.457898100023158,0.8522603049641475,0.823130874952767,4.310158404987305,0.33495952701196074,0.30546732200309634,4.645117931999266,,,,,,,,,,,,,,,,,,,,f,1,0.48916869197273627,f,0,1.604913579998538,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,19.45279383502202,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,1,,,Verdadero,Falso,j,B,congruent_left,No aceptaron a las mujeres en el club por sus prejuicios,0,0,0,0,f,0,259,Las mujeres tenían muchos prejuicios.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,58,,,,,,,,,,,,,,,,,,0.8017306120018475,0.7894805839750916,0.8017306120018475,0.33376988500822335,0.30536854499951005,1.1355004970100708,0.6349927830160595,0.6061044249800034,1.7704932800261304,0.384357729984913,0.3547363599645905,2.1548510100110434,0.38377295999089256,0.35441175498999655,2.538623970001936,0.43530721199931577,0.401890033041127,2.9739311820012517,0.36740307504078373,0.3339373600319959,3.3413342570420355,0.3843078750069253,0.35448826797073707,3.7256421320489608,0.5180770849692635,0.48551233200123534,4.243719217018224,0.36805948498658836,0.33981543499976397,4.611778702004813,0.36786057002609596,0.33927282301010564,4.979639272030909,,,,,,,,,,,,,,,,,f,1,0.5711490899557248,f,0,2.060268043016549,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,1,,,Verdadero,Falso,j,B,congruent_left,La arquitecta puso los planos que sus compañeros le dejaron en su oficina encima de la mesa para verlos bien,1,1,0,0,f,0,35,La arquitecta sacó los planos de su bolsa.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,14,,,,,,,,,,,,,,,,,,0.45027484197635204,0.43301078997319564,0.45027484197635204,0.35102703503798693,0.32173195999348536,0.801301877014339,0.5845883549773134,0.5517843799898401,1.3858902319916524,0.4185386230237782,0.3895374819985591,1.8044288550154306,0.4343518099631183,0.3888759179972112,2.238780664978549,0.4003645620541647,0.37119787000119686,2.6391452270327136,0.38476454495685175,0.3359671999933198,3.0239097719895653,0.43392164999386296,0.40418593998765573,3.4578314219834283,0.6193573930067942,0.5900303230155259,4.0771888149902225,0.4174847250105813,0.38870019995374605,4.494673540000804,0.6013539020204917,0.5730947419651784,5.096027442021295,0.434856197971385,0.40136889199493453,5.53088363999268,0.400994831987191,0.36850368801970035,5.931878471979871,,,,0.4345840150490403,0.4055513829807751,6.366462487028912,,,,,f,1,0.4541609500302002,j,1,2.7074399029952474,,,,None,None,0.4510550779523328,0.42237321997527033,6.8175175649812445,0.434419492026791,0.401617327996064,7.2519370570080355,0.3340194780030288,0.30103423702530563,7.585956535011064,0.3678833119920455,0.3388689970015548,7.95383984700311,0.3672604350140318,0.3381164200254716,8.321100282017142,0.3849922730005346,0.3556133849779144,8.706092555017676,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,1,,,Verdadero,Falso,f,B,congruent_left,"Entre los amigos en la fiesta de Luis estaban sus hermanos, Marisa y Germán ",0,0,0,0,f,0,255,María y Germán son amigos de Luis.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,54,,,,,,,,,,,,,,,,,,0.4502666679909453,0.4368531630025245,0.4502666679909453,0.46762090700212866,0.43818292301148176,0.9178875749930739,0.36813019000692293,0.3389103129738942,1.2860177649999969,0.38421885296702385,0.3552262050216086,1.6702366179670207,0.31759018200682476,0.2887221970013343,1.9878267999738455,0.3674180129892193,0.33865613501984626,2.3552448129630648,0.36751678999280557,0.338007349986583,2.7227616029558703,0.36838581005577,0.33888384205056354,3.0911474130116403,0.40131219499744475,0.369360284996219,3.492459608009085,0.5167675369884819,0.4882361849886365,4.009227144997567,0.5353384079644457,0.5055046899942681,4.544565552962013,0.5681852250127122,0.5390806950163096,5.112750777974725,0.7853604670381173,0.7563724580104463,5.898111245012842,,,,0.5017146099708043,0.47333685198100284,6.399825854983646,,,,,f,1,0.4398779399925843,f,1,5.263974534987938,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,f,B,incongruent_right,Siempre que mi hermana sale el carro se queda sin gasolina,0,1,1,0,j,0,103,Mi hermana no rellena el tanque.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,21,,,,,,,,,,,,,,,,,,0.433756751997862,0.4237623799708672,0.433756751997862,0.43480732303578407,0.4055808899574913,0.8685640750336461,0.34978500701254234,0.31742096203379333,1.2183490820461884,0.36860503000207245,0.33460699499119073,1.5869541120482609,0.4342678799876012,0.4054641200345941,2.021221992035862,0.36793393798870966,0.3354063350125216,2.3891559300245717,0.3839583999942988,0.3557891949894838,2.7731143300188705,0.5348583119921386,0.5065079759806395,3.307972642011009,0.4511151750339195,0.42282219999469817,3.7590878170449287,0.3673702329979278,0.33840885502286255,4.1264580500428565,0.4015706600039266,0.3727292149560526,4.528028710046783,,,,,,,,,,,,,,,,,j,1,0.7199311449658126,f,1,1.859968735021539,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,f,B,incongruent_left,Cuando la participante adivinó la respuesta apareció en la pantalla,1,1,1,0,f,1,28,La participante está en un concurso.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,,,,,0.5346870750072412,0.5122034740052186,0.5346870750072412,0.5174726299592294,0.4892639219760895,1.0521597049664706,0.3512406450463459,0.3219220050377771,1.4034003500128165,0.6517490950063802,0.623163057025522,2.0551494450191967,0.7524453779915348,0.7201297400170006,2.8075948230107315,0.5511819769744761,0.5229339799843729,3.3587767999852076,0.8353351500118151,0.8057146150385961,4.194111949997023,1.2704301250050776,1.2369251499767415,5.4645420750021,0.383240497962106,0.3533458550227806,5.847782572964206,0.3850996370310895,0.35496914299437776,6.232882209995296,,,,,,,,,,,,,,,,,,,,f,1,0.8070616349577904,f,1,5.519236522028223,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,j,B,incongruent_left,Los novios montaron la sofá que su amigo les dejó en la sala de su nuevo piso ,0,1,1,0,f,0,118,Los novios compró la sofá nueva.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,28,,,,,,,,,,,,,,,,,,0.43366005999268964,0.4153256380232051,0.43366005999268964,0.40111674001673236,0.37204947497230023,0.834776800009422,0.4499189250054769,0.42202437500236556,1.284695725014899,0.9203820149996318,0.886838934966363,2.2050777400145307,0.4004364649881609,0.37210303504252806,2.6055142050026916,0.3844337399932556,0.35130405495874584,2.989947944995947,0.35083499300526455,0.31846867001149803,3.3407829380012117,0.5015744569827802,0.4691199180088006,3.842357394983992,0.4840384229901247,0.45469873200636357,4.326395817974117,0.3347983999992721,0.3048710920265876,4.661194217973389,0.7518523150356486,0.7054828519467264,5.413046533009037,0.434934971970506,0.40599274198757485,5.847981504979543,0.4008751279907301,0.35535957803949714,6.2488566329702735,,,,0.4508168669999577,0.4210851229727268,6.699673499970231,,,,,f,1,0.5391491400077939,f,0,4.279369366005994,,,,None,None,0.43521080003120005,0.405305286985822,7.134884300001431,0.3669206229969859,0.3377533400198445,7.501804922998417,0.5019747819751501,0.4729723980417475,8.003779704973567,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,1,,,Verdadero,Falso,j,B,congruent_right,Amalia puso el jamón que sus hermanos dejaron en los platos en el refrigerador después de que comieron,1,1,0,0,j,0,34,Los hermanos ordenaron la mesa después de comer. ,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,13,,,,,,,,,,,,,,,,,,0.6342676149797626,0.6148087719921023,0.6342676149797626,0.7681192950112745,0.7392168219666928,1.402386909991037,0.5009386129677296,0.47188581997761503,1.9033255229587667,0.3853948350297287,0.35589961300138384,2.2887203579884954,0.484506546985358,0.45536672498565167,2.7732269049738534,0.41757751000113785,0.3884010050096549,3.1908044149749912,0.7187445830204524,0.6896390899783,3.9095489979954436,0.3846197900129482,0.3555811199476011,4.294168788008392,0.6014165619853884,0.5731901330291294,4.89558534999378,0.45148360496386886,0.4233061029808596,5.347068954957649,0.3337142000091262,0.3008845550357364,5.680783154966775,0.4681640050257556,0.4390362600097433,6.148947159992531,0.3674541150103323,0.3387253530090675,6.516401275002863,,,,0.367203822999727,0.33874651504447684,6.88360509800259,,,,,j,1,0.8025087349815294,j,1,3.163464267970994,,,,None,None,0.5179825669620186,0.49009119701804593,7.401587664964609,0.4185228400165215,0.38925372500671074,7.82011050498113,0.36806706502102315,0.33935061999363825,8.188177570002154,0.3677948630065657,0.3353505529812537,8.55597243300872,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,f,A,single_left,a,0,0,0,1,f,0,314,a,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.38956911000423133,None,0,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,1,,,Verdadero,Falso,f,B,congruent_right,Después de hacer la tarea Pilar volvió a jugar videojuegos,0,0,0,0,j,0,241,A Pilar le gustan los videojuegos.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,40,,,,,,,,,,,,,,,,,,0.44849679700564593,0.4348434119601734,0.44849679700564593,0.5198209380032495,0.48974545300006866,0.9683177350088954,0.4338634409941733,0.40416843903949484,1.4021811760030687,0.5016611640457995,0.4720787220285274,1.9038423400488682,0.4009756269515492,0.37166865001199767,2.3048179670004174,0.6018223200226203,0.5726649480056949,2.9066402870230377,0.8024422149755992,0.7738234730204567,3.709082501998637,0.8178542680107057,0.7889560200273991,4.526936770009343,0.40217630204278976,0.37207604199647903,4.929113072052132,0.4840878499671817,0.45566715201130137,5.413200922019314,,,,,,,,,,,,,,,,,,,,j,1,0.6898343799985014,f,1,1.2915728199877776,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,1,,,Verdadero,Falso,f,B,congruent_right,En el salón de conciertos resonaba la música de la banda ,0,0,0,0,j,0,249,Se podía escuchar la música en todo el salón.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,9,48,,,,,,,,,,,,,,,,,,0.4834949799696915,0.4679597149952315,0.4834949799696915,0.3336696850019507,0.3046914750011638,0.8171646649716422,0.38422672502929345,0.3556233400013298,1.2013913900009356,0.6696548669715412,0.6381545549957082,1.8710462569724768,0.4341882730368525,0.40705445501953363,2.3052345300093293,1.3035347319673747,1.2751255800249055,3.608769261976704,0.9525908980285749,0.9201253580395132,4.561360160005279,0.38387358497129753,0.35502255003666505,4.945233744976576,0.43395614804467186,0.4042391419643536,5.379189893021248,0.40170078695518896,0.37335699604591355,5.780890679976437,0.31764764501713216,0.28940637200139463,6.098538324993569,,,,,,,,,,,,,,,,,j,1,0.5399614979978651,f,1,3.0295740449801087,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,1,,,Verdadero,Falso,j,B,congruent_right,Cuando mi hermana maneja el carro mi papá camina a la oficina,0,0,0,0,j,0,237,Mi hermana tiene su propio carro.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,10,10,36,,,,,,,,,,,,,,,,,,0.5340273870388046,0.5221878970041871,0.5340273870388046,0.5339527179603465,0.5047211199998856,1.067980104999151,0.9029584850068204,0.8732272970373742,1.9709385900059715,0.5014693000121042,0.47278200002619997,2.4724078900180757,0.6684997599804774,0.63877955195494,3.140907649998553,0.36726297199493274,0.33827006502542645,3.508170621993486,0.38491641805740073,0.3520165979862213,3.8930870400508866,0.40122405998408794,0.37227006000466645,4.2943111000349745,0.534331401984673,0.5055342379491776,4.8286425020196475,0.3677758030244149,0.3388289880240336,5.196418305044062,0.4678397119860165,0.4381541370530613,5.664258017030079,0.3848802479915321,0.35616829502396286,6.049138265021611,,,,,,,,,,,,,,j,1,0.4387803220306523,j,1,2.2596888070111163,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,f,A,single_left,a,0,0,0,1,f,0,301,a,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,11,11,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.7050693320343271,None,0,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,j,B,incongruent_left,Cuando los jardineros se fueron el jardín era el más bonito del barrio,0,1,1,0,f,0,110,Los clientes no se quedaron satisfechos con el jardín.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,12,12,24,,,,,,,,,,,,,,,,,,0.6341966050094925,0.6108615699922666,0.6341966050094925,0.5176290949457325,0.48914812004659325,1.151825699955225,0.5848696600296535,0.5554627269739285,1.7366953599848785,0.619184642971959,0.5903813579934649,2.3558800029568374,0.4174652670044452,0.3895159999956377,2.7733452699612826,0.4843026050366461,0.45628285501152277,3.2576478749979287,0.4512233479763381,0.42263545002788305,3.708871222974267,1.001859591982793,0.9732055100030266,4.71073081495706,0.552398820000235,0.5233783269650303,5.263129634957295,0.36722686799475923,0.33826586802024394,5.630356502952054,0.418248932051938,0.38520079699810594,6.048605435003992,0.4008984649553895,0.36840777995530516,6.449503899959382,0.3510329280397855,0.31829335499787703,6.800536827999167,,,,,,,,,,,f,1,0.47384863800834864,j,1,2.4607977820560336,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,f,B,single_left,La estudiante se encontró con su profesora para calmar su preocupación ,0,0,0,1,f,0,260,La profesora estaba muy preocupada.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,13,13,59,,,,,,,,,,,,,,,,,,0.567201497964561,0.552965561975725,0.567201497964561,0.28421165200416,0.2565291050123051,0.851413149968721,0.45067308499710634,0.42190629296237603,1.3020862349658273,0.5510386700043455,0.5213737249723636,1.8531249049701728,0.7864220180199482,0.7564108400256373,2.639546922990121,0.4835996219771914,0.4549966150079854,3.1231465449673124,0.40212899004109204,0.36814694496570155,3.5252755350084044,0.551219018001575,0.5219457920175046,4.076494553009979,0.46798589697573334,0.43964274204336107,4.544480449985713,0.5013328249915503,0.4722280250280164,5.045813274977263,0.5515628849971108,0.5250522579881363,5.597376159974374,,,,,,,,,,,,,,,,,f,1,0.7063573700143024,j,0,2.540848895034287,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,0,,,Verdadero,Falso,f,B,incongruent_right,Daniel metió el abrigo que su pareja dejó en la maleta en el clóset cuando regresaron,1,1,1,0,j,1,33,La pareja llevó un abrigo en su equipaje.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,14,14,12,,,,,,,,,,,,,,,,,,0.4000701999757439,0.38162701099645346,0.4000701999757439,0.5173951530014165,0.48692808201303706,0.9174653529771604,0.5685032300534658,0.5374861249583773,1.4859685830306262,0.468537236971315,0.42342219897545874,1.9545058200019412,0.5516875230241567,0.5232893750071526,2.506193343026098,0.5343612549477257,0.5058826919994317,3.0405545979738235,0.4175971770309843,0.3843525949632749,3.458151775004808,0.4850870380178094,0.45601869700476527,3.9432388130226173,0.5839012250071391,0.555746658006683,4.527140038029756,0.6021957069751807,0.5683902120217681,5.129335745004937,0.38422639499185607,0.3554837050032802,5.513562139996793,0.6689842279884033,0.6398372929543257,6.182546367985196,0.3341131650377065,0.30477760499343276,6.516659533022903,,,,0.35094280197517946,0.3220635849866085,6.867602334998082,,,,,j,1,0.6232575649628416,f,1,3.1642486570053734,,,,None,None,0.5174740899819881,0.4850349230109714,7.38507642498007,0.4681239600176923,0.43885801697615534,7.853200384997763,,,,,,,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
,,1,,,Verdadero,Falso,j,B,congruent_left,Los chicos pusieron el pollo que su mamá preparó en el horno en la mesa antes de comer,1,1,0,0,f,0,39,La mamá preparó la comida en la mesa.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,15,15,18,,,,,,,,,,,,,,,,,,0.5171177600277588,0.5024018690455705,0.5171177600277588,0.31799202697584406,0.2880244900006801,0.8351097870036028,0.40111029002582654,0.3722543449839577,1.2362200770294294,0.4851039450149983,0.45185976498760283,1.7213240220444277,0.36746818997198716,0.3386317750555463,2.088792212016415,0.4175229300162755,0.38809919002233073,2.5063151420326903,0.36803707998478785,0.33587516500847414,2.874352222017478,0.8187574330368079,0.7898673549643718,3.693109655054286,0.4006332499557175,0.37216045503737405,4.093742905010004,0.4183977520442568,0.3891238050418906,4.51214065705426,0.4006281699985266,0.37178013497032225,4.912768827052787,0.3678754699649289,0.33897094696294516,5.280644297017716,0.40161752502899617,0.3732075580046512,5.682261822046712,,,,0.3837465950055048,0.355783884995617,6.066008417052217,,,,,f,1,0.4509690779959783,j,1,3.4314059379976243,,,,None,None,0.3666721349582076,0.33303936303127557,6.432680552010424,0.41851233498891816,0.3846616549999453,6.851192886999343,0.5519842280191369,0.5227815299876966,7.4031771150184795,0.60103701998014,0.5559922649990767,8.00421413499862,,,,,,,,,,,,,7,001,2,2,2018_Oct_02_1108,Dissertation,60.93996657689804,
